取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"単品料理","焼きおにぎり","","",418,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"単品料理","ししゃも","","",550,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","紅生姜巻き","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","焼き鳥【皮】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"単品料理","炙り明太子","","",748,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","焼き鳥【ぼんじり】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","焼き鳥【砂肝】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","焼き鳥【レバー】","タレ","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","焼き鳥【軟骨】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,2026/02/02,17:29:15,2026/02/02,17:57:28,3454,3454,314,0,3454,314,0,0,0,0,0,3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,00:28:12,"T16",0001,"佐藤舞桜","未設定",399E35CECD534C66B3C76ECFB2C318F1,"ビール","生ビール","生ジョッキ","",660,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"単品料理","たこわさ","","",495,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"串焼き","焼き鳥【もも】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"ビール","メガビール","","",1045,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"串焼き","焼き鳥【ささみ】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260202172939449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399E35CECD534C66B3C76ECFB2C318F1,"串焼き","焼き鳥【軟骨】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260202182559355,2026/02/02,18:25:41,2026/02/02,20:51:51,20586,20586,1871,0,20586,1871,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,3,43,02:26:10,"T2",0001,"小島陽","未設定",5C32CDBA47524D7A9239C834432C898A,"串焼き","のりチーズ","","",330,1,0,0,-,0,"",0,0,0,0
HD0020260202182559355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5C32CDBA47524D7A9239C834432C898A,"串焼き","アスパラ肉巻き","","",330,1,0,0,-,0,"",0,0,0,0
