日付,曜日,PC,スマホ,アプリ,総合
2025-07-01,火,13,7,68,88
2025-07-02,水,5,2,30,37
2025-07-03,木,10,3,39,52
2025-07-04,金,15,71,74,160
2025-07-05,土,11,29,65,105
2025-07-06,日,9,58,59,126
2025-07-07,月,8,6,6,20
2025-07-08,火,11,22,10,43
2025-07-09,水,9,32,47,88
2025-07-10,木,3,8,19,30
2025-07-11,金,16,40,37,93
2025-07-12,土,5,4,69,78
2025-07-13,日,5,6,29,40
2025-07-14,月,15,49,19,83
2025-07-15,火,25,74,4,103
2025-07-16,水,9,17,39,65
2025-07-17,木,12,3,47,62
2025-07-18,金,5,51,74,130
2025-07-19,土,2,59,56,117
2025-07-20,日,2,24,25,51
2025-07-21,月,7,58,5,70
2025-07-22,火,8,11,37,56
2025-07-23,水,11,43,28,82
2025-07-24,木,19,61,48,128
2025-07-25,金,3,8,64,75
2025-07-26,土,5,72,63,140
2025-07-27,日,3,27,19,49
2025-07-28,月,17,7,12,36
2025-07-29,火,16,25,33,74
2025-07-30,水,28,41,33,102
2025-07-31,木,5,24,22,51
