period_start,period_end,page_type,pv,share_percent,note
2025-07,2025-07,店舗トップ,151,48.4,
2025-07,2025-07,口コミ・評価,62,19.9,
2025-07,2025-07,メニュー,38,12.2,
2025-07,2025-07,料理写真,34,10.9,
2025-07,2025-07,地図・クーポン,12,3.8,
2025-07,2025-07,内観写真,9,2.9,
2025-07,2025-07,外観写真,5,1.6,
2025-07,2025-07,その他,1,0.3,
2025-07,2025-07,ドリンク写真,0,0.0,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-07,2025-07,地図印刷,0,0.0,
2025-07,2025-07,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
2025-07,2025-07,座席情報,0,0.0,
