,"1
過去に伸びたもの",,ネタメモ：肉の仕入れ見て、なかったことにしたいって思う日何回もありますよね（焼肉）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,肉の仕入れ見て、なかったことにしたいって思う日正直何回もありますよね
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"相場変動が激しい
高原料食材が主役
歩留計算をせずにロスが見えにくい"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,高原価肉（タン、ハラミなど）×低原価肉（ホルモン系）をセットで売りましょう
,,,,
,"2
過去に伸びたもの",,ネタメモ：1号店は順調、2号店だけ数字が出ない,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,1号店の成功要因を構造化できていないお店は2号店失敗します
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"1号店の成功要因を「再現可能／不可」に分けて
2号店では再現可能な要素のみで成立する前提を再設計してください"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
