No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,経営者さん、今すぐ実際原価見て！横領にあってる話,棚卸してない店、実はスタッフに食材盗まれてる可能性ありますよ。,「なんか最近、原価率高いなぁ…」って首を傾げてません？,「スタッフはみんな信用してるし」って、性善説で経営してません？,それ、一番危ない考え方です。,気づかへんうちに毎月数万円、年間数十万円分の食材が消えて…気づいた時にはもう手遅れですわ。,「うちのスタッフに限ってそんなこと…」って、心のどこかで信じたい気持ち、ありますよね。,毎日忙しい中で、棚卸まで手が回らん気持ち、めっちゃ分かります。,でもほんまは、「もし盗まれてたらどうしよう」っていう不安、ちょっとよぎりますよね？,気持ちは分かるけど、経営者として見なあかんのは現実です。性善説だけでは店は守れませんで。,今日は、その不安を解消して、お店のお金を守るための「実際原価」の話をします。,理論原価だけ見てる店と、実際原価まで見てる店。数年後、残ってるのはどっちやと思います？,レジのお金は毎日数えるのに、食材の在庫は数えない。それっておかしいと思いませんか？,結論、横領を防ぐ一番の方法は、毎月きっちり棚卸をして「実際原価」を出すことです。,ポイントはシンプル。月末に在庫を数えて、理論原価と実際原価の差を見ること。これだけです。,これ、僕のクライアントさんの実話なんですけど、原価のズレがひどくて監視カメラつけたら…相当な額やられてたんです。,誰かを疑うのは辛い。でも、仕組みで未然に防ぐのが経営者の優しさやと僕は思います。,棚卸は経理のためだけやない。犯罪を防ぐためにも、今月から必ず実施してください。,夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;レトルト商品;飲食経営に感情は要るのか？やりがいだけでは勝てない時代;閉業率が高く絶対に選ばない3つの業態
2,36協定,知らんうちに法律違反、してませんか？それ、労基法違反でっせ。,人手不足やし、忙しいから残業くらいしゃあないやん…って思てますよね。,今日も終電までありがとうな、って感謝は伝えてるつもりやけど…。,その優しさ、実はスタッフを危険に晒してるだけなんです。,ある日突然、労基が来て「罰金30万円です」って言われたら、お店終わりまっせ。,「36協定ってよう分からんし、手続き面倒くさそう」って後回しにしてません？,スタッフには気持ちよく働いてほしい。でも書類仕事まで手が回らん…その気持ち、めっちゃ分かります。,ほんまは法律とか気にせんと、もっと現場に集中したいんですよね。,でも、その「知らんかった」は通用せえへんのです。お店とスタッフを守るのが社長の仕事でしょ？,今日は、ややこしい36協定を『なんで結ばなあかんのか』『どうすればええのか』をシンプルに解説します。,36協定がある店は安心。ない店は、いつ爆発するか分からん時限爆弾抱えてるようなもんです。,これって、保健所の許可取らんと営業してるのと同じくらい危ない話。見えへんけど、絶対守らなアカン一線ですわ。,結論、スタッフに残業してもらうなら、36協定は絶対結んでください。これは義務です。,やることはシンプル。書類作って、スタッフ代表とサインして、労基署に出す。たったこれだけ。,ネットで『36協定 届出』って調べたらすぐ書式出てきます。分からんかったら社労士さんに相談するのもアリです。,この一枚の紙が、頑張ってくれるスタッフと、あなたのお店を守るお守りになるんです。,労基に駆け込まれてからではもう手遅れです。雇用を守るためにも、36協定、ちゃんと理解しときましょ。,マルチチャネル経営が必須;開業してから考えるな　今いるお客さんの視点から逆算しろ;POSレジの紹介;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き
3,バックヤードが汚い店舗は人が育たない,この動画が流れて来た飲食店さん、今すぐバックヤードの確認してください。,「忙しいから後でええか…」って、見て見ぬフリしてるとこ、ありません？,期限切れの食材とか、もう使わん機材が隅っこに積まれてたり。,それ、ただの物置とちゃいますよ。,その環境、スタッフのやる気と集中力、全部吸い取ってます。ええ人材から辞めていきますよ。,「客席さえ綺麗やったら問題ないやろ」って、心のどこかで思ってません？,分かりますよ。ホール回すだけで手一杯で、裏まで気が回らん時ありますよね。,ほんまは「こんなんじゃアカン」って分かってるけど、どこから手つけてええか分からんのちゃいます？,でもその“後で”が、お店の成長をじわじわ止めてる一番の原因なんです。,今日は、バックヤードの乱れが、なぜスタッフの成長を止めてしまうのか、その恐ろしい理由を話します。,綺麗な厨房で働く人と、ごちゃごちゃの場所で働く人。仕事の質も幸福感も、全然違います。,バックヤードってお店の“心臓”みたいなもん。そこが詰まってたら、ええ血液、つまり良いサービスが全体に回らんのです。,結論、バックヤードが汚い店は、人が育ちません。,集中力、士気、健康、モチベーション。目に見えへん大事なもんが、全部低下していくんです。,まずは「1日5分だけ片付ける」ルールから。床に物を置かない、これだけでも劇的に変わります。,働く環境を整えるんは、オーナーの大事な仕事。スタッフはその背中をちゃんと見てますよ。,お店の綺麗さは心の投影です。お客様が見えへんところこそ、大事にしましょ。,なぜこの店は夢を語ってるだけで予約が埋まるのか？;竹矢匠吾が思う飲食店経営のやりがい;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;売上目標の決め方;チェーン店に勝つ方法
4,正直商品の優劣ではなくストーリーかベネフィット,もうええ加減、商品の良さだけで売ろうとするのやめません？,「うちの料理は絶対うまいのに、なんでお客さん増えへんのやろ」って、首かしげてません？,SNSで「A5ランクの肉使ってます！」とか「産地直送の新鮮野菜！」とか、素材の自慢ばっかりしてません？,正直それ、お客さんにはもう響いてないんです。,そのままだと、こだわりが誰にも伝わらんまま価格競争に巻き込まれて、気づいたら静かに潰れてる…なんてことになりかねません。,ほんまは「味はうちの方が絶対ええのに、なんであの店ばっかり流行るんやろ」って、心のどこかで思ってません？,その気持ち、めっちゃ分かります。僕も昔は「この味さえあれば大丈夫」って信じてましたから。,でも心の奥では「こんなに頑張ってるのに、誰も見てくれてへん」って、ちょっと寂しくなってません？,そのこだわりは宝物ですよ。でも、お客さんが欲しいのは“モノ”そのものやないんです。,この後、お客さんがほんまに求めてる『ストーリー』と『ベネフィット』っていう2つの武器について話しますね。,「うまい肉あります」って言う店と、「仕事で疲れた自分への最高のご褒美になる肉あります」って言う店、どっちが心動きます？,例えば、ただのラーメンを売るんやなくて、「店主が脱サラして人生賭けた一杯の物語」を伝える。これがストーリーの力です。,結論、お客さんが店を選ぶ理由は２つだけ。共感できる『ストーリー』か、自分にとっての特別な価値『ベネフィット』です。,ストーリーは「なんでこの店始めたんか」っていう想いの部分。ベネフィットは「お客さんがどう幸せになるか」っていう未来の部分です。,まず自店の『ストーリー』と、お客さんにあげられる『ベネフィット』を紙に書き出してみてください。それが新しいメニュー名やSNSの投稿の軸になります。,あなたのそのこだわりは、伝え方を変えるだけで、誰かの心を動かす最高の武器になるんです。,まだ「うちのこだわりは〇〇です」って言ってるなら、今すぐ強みの見せ方、見直すタイミングですよ。,そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;集客の相談より「人」に関する問い合わせが一番多い;ABC分析;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;お客様の怒りや渇望→マーケ
5,包み隠さずいいます　集客は時間をかけるかお金をかけるかしかできません,包み隠さず言いますが、集客は時間をかけるかお金をかけるかでしかできません。,「なんか楽して集客できる裏技ないかな…」って、つい探しちゃいますよね？,新しいSNSに飛びついて、すぐ結果が出えへんかったらすぐ辞めてません？,それ、一番お金も時間もドブに捨てるやり方です。,そのやり方やと、気づいたら1年後も客席はガラガラのままですよ。,「ウチは広告費かけられへんし…」って、時間かけるしかないのは分かってるけど、正直しんどいって思ってません？,毎日投稿とか、地味な作業とか、ほんまに骨折れますよね。,でも心のどこかで、“一発逆転のバズ”を期待してませんでした？,その気持ち、めっちゃ分かります。でも集客って、宝くじとちゃうんですよ。,今日は、お金がないお店がどうやって時間を『集客資産』に変えていくか、その話をします。,この覚悟がないと、頑張ってるつもりがただの時間の浪費で終わってしまいます。,集客って筋トレと一緒なんです。一日でムキムキにはならんけど、続けた人だけが結果を手にするんです。,結論、お金がないなら『継続』の一択です。文句言わずにやるしかないんです。,SNSもグルメ媒体もGoogleも、全部明日からいきなり跳ねることなんてないんです。,まずは「半年は無反応でも続ける」と腹を括って、一つの媒体に絞って発信し続けてください。,その地味な積み重ねだけが、一番の近道なんです。しんどいのは、あなたが本気で向き合ってる証拠ですよ。,その忍耐力がないのであれば、圧倒的な予算を準備してください。選ぶのはあなたです。,飲食店は立地で決まる？;飲食店経営は“戦時”と“平時”を分けて考えろ;集客に即効性を求めてはいけない;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店
6,友人や子供の写真を載せるな　ユーザーラベリング「このアカウントはこのジャンル」,インスタグラムに友人や子供の写真は、絶対に載せたらあきません。,「え、なんで？親近感わくやん」って思いますよね。,「今日は子供とランチ」とか「仲間と店で乾杯！」みたいな投稿、ついやりがち。,でもそれ、集客アカウントとしては最悪の一手なんです。,その投稿、未来のお客さんやなくて、あなたの友達の友達にしか届いてません。いいねは増えても予約は増えへんのです。,「でも、人間味があった方がええんちゃうか」って、ずっと思ってましたよね？,お店の裏側とか、オーナーの人柄を見せたい気持ち、めっちゃ分かります。,ほんまは「ビジネス」だけやなくて、「自分」という人間も見てほしいんですよね。,その気持ちは大事です。でも、集客用のアカウントは仕事をする場所なんです。,なんでプライベートな投稿がアカンのか、「ユーザーラベリング」っていう仕組みで説明しますね。,友達にだけウケるアカウントと、新規のお客さんに届くアカウント、どっちが欲しいですか？,ラーメン屋さんのアカウントやのに、急にペットの写真が出てきたら「え？」ってなりますやん。それと一緒です。,インスタのAIに「このアカウントは飲食店の情報を発信してる」って正しく認識させなあかんのです。,AIは投稿内容を見て「このアカウントは〇〇のジャンルやな」ってラベルを貼って、興味ありそうな人に届けるんです。,やから、投稿は料理、お店の雰囲気、こだわりみたいに、お店に関することだけに絞ってください。,ちょっと寂しいかもしれんけど、これはあなたの大事なお店を守るためのルールなんです。,せっかく集客用に作ったアカウントなら、プライベートな内容は一切投稿せんと心に決めてください。,加工品を賢く取り入れる;お客様の怒りや渇望→マーケ;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;マクドナルドから真似すべき戦法
7,収容人数÷4÷４,ホールスタッフ何人置くか…で悩んでる店長さん、なんで『収容人数÷4÷4』やらへんのですか？,人件費は抑えたい。でも、お客様待たせてクレームになるんはもっと嫌や…って思いますよね。,とりあえず忙しい時間帯は多めにシフト入れて、暇な時間は削って…みたいな場当たり的な対応してません？,それ、一番あかんやつです。,結局、人件費はかさむわ、スタッフは疲弊するわで、店の空気まで悪うなって、お客さんまで離れていきますよ。,「うちの店は特殊やから…」とか「経験と勘が一番や」って、心のどこかで思ってません？,僕も昔はそうでした。数字で見るのが怖くて、自分の感覚だけを信じたかったんです。,でもほんまは、明確な基準がないから不安やっただけなんですよね。,その不安、見て見ぬふりしてたら、いつまで経っても変わりませんよ。,この後、誰でもできる『適正なホール人数』の計算式を教えます。もうシフトで悩むことはなくなります。,「なんとなく」で決めてたシフトから、「根拠のある」人員配置へ。これだけで店の利益率、全然変わります。,サッカーでFWばっかり10人おっても勝てへんのと一緒。店にも最適なフォーメーションがあるんです。,答えはシンプルです。『収容人数 ÷ 4 ÷ 4』。これで計算してください。,まず『収容人数 ÷ 4』で、だいたいの理想テーブル数が出ます。,そのテーブル数をさらに『÷ 4』する。これが1人で見れる限界のテーブル数。つまり、必要なホール人数です。,この数字が、あなたの「なんとなく」の不安を全部消してくれますよ。,開業の時とか、人件費が高いなって感じたら、まずこの計算、一回やってみてください。,インスタグラマー集客はやめろ;限界利益;なぜ新入社員のエンゲージメントが3年で低下するのか;人が辞めないチームの作り方　給与より信じたくなる空気があるか;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない
8,坪売上,坪売上10万円いってないお店、正直かなり危ないですよ。,坪売上とか言われても、結局売上全体が上がればええんちゃうの？って思ってません？,つい席数増やしたり、メニュー増やしたりして、なんとなく売上を上げようとしてまへんか？,それ、お店の効率をどんどん悪くしてるだけなんです。,このままやと、忙しいのに全然儲からへん…っていう一番しんどい状態にまっしぐらです。,「うちの店、広さの割に売上低いんちゃうか…？」って、心のどっかで思ってません？,でも、家賃もあるし、店のレイアウトも簡単には変えられへんのが現実ですよね。,本当はもっと効率よく稼ぎたいのに、どこから手をつけてええかわからん…ってなってませんか？,その気持ちめっちゃわかります。でも、坪売上から目をそらしてるうちは、利益は絶対増えへんのです。,今日は、お店の収益性を劇的に変える『坪売上』の見方と、具体的な改善策をしっかりお伝えします。,坪売上10万円の店と30万円の店では、同じ面積でも手元に残るお金が全然違うんです。,10坪のお店やったら、月商100万か300万かの違いです。これ、家賃払ったらどっちが楽か、もうわかりますよね。,結論、まずは坪売上20万円。ここを目指すのが健全経営の第一歩です。,ポイントは３つ。客単価アップ、回転率アップ、そしてデッドスペースの収益化です。,まずは自分の店の坪売上を計算して、客単価をあと500円上げるには？回転率をあと0.5上げるには？って考えてみてください。,数字で見ると、やるべきことがはっきり見えてきて、なんかスッキリしませんか？,坪売上はあくまで指標の一つです。でも、これを知ってるだけで目標の立て方がガラッと変わります。,メニュー開発は固定概念に囚われてはいけない（リフレーミング）;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない;地域密着型店舗の落とし穴
9,開業費用の内訳,これから飲食店を開業する人、お金で絶対コケたくないなら、開業資金の4大分類くらい知ってますよね？,え、4つもあるん？物件と設備だけちゃうの？って思いますよね。,とりあえず内装費と厨房機器の見積もりだけ見て、なんとかなるわって思ってません？,それ、一番アカンやつです。,オープンしたはええけど、すぐ資金ショート。半年もたずに閉店ガラガラ…ほんまに笑えませんよ。,“夢やった自分のお店やし…”って、希望ばっかり見て、リアルな数字から目ぇそらしてません？,ほんまは、何にどれくらいかかるか、きっちり把握して安心してスタート切りたいですもんね。,でも誰に聞いたらええか分からんし、今さら聞きにくい…って一人で抱え込んでません？,その気持ち、めっちゃ分かります。でも知らんまま進むんは、ただのギャンブルですよ。,このあと、飲食店の開業資金で絶対押さえとかなアカン4つの分類と、その理想の割合をサクッと解説します。,これ知ってるだけで資金計画の精度が全然ちゃいます。無駄な借金もせんで済みますよ。,開業資金ってお店の体力みたいなもん。最初から体力不足やと、ちょっとしたことで息切れしてまいますからね。,結論、開業資金は大きくこの4つに分けて考えてください。,①物件取得費、②店舗設備費、③運転資金、そして④忘れがちなオーナーの生活費です。,理想の割合は、物件と設備で全体の8割。残りの2割を運転資金と、最低半年分の自分の生活費に充てる。これが鉄則です。,この“生活費”を見込んでない人がほんまに多い。自分を追い詰めたら、ええ店なんか作れませんよ。,まずはこの4分類で計画を見直してみて。もっと詳しく知りたい人はDMで「面談希望」って送ってください。,人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;求人が来ない理由とブランドイメージの関連性;人時売上高;バイトの意識が劇変する現場研修のやり方とは;PLは％で見れるように
10,厨房面積比率,キッチンの広さが全体の2割未満の店、ほぼ潰れますよ。,「家賃もったいないし厨房は狭く、席数増やそ」って無意識に考えてません？,その分、客席をギチギチに詰め込んで「満席や！」って満足してたり。,それ、完全に悪手です。,厨房が狭すぎて提供は遅れる、スタッフはぶつかる。結局誰も得せえへん店になります。,「うちはオペレーションでカバーできる」とか「腕があれば大丈夫」とか、どっかで思ってません？,1席でも多く席を確保したい気持ちは、痛いほど分かります。,でも内心、「今の厨房、正直めっちゃ動きにくいな…」って感じてますよね？,その「ちょっとした不便」が、毎日積み重なって店の寿命を縮めてるんですよ。,今日は、売上と効率を最大化する「黄金の厨房比率」について具体的にお伝えします。,厨房が狭い店は料理の提供が遅い。逆に広すぎると客席が減って売上が立たないんです。,車で言うたら、エンジンが小さすぎるのに座席だけいっぱいあるようなもん。ちゃんと走れるわけないですよね。,結論、厨房面積は総面積の30%が理想です。,特に大事なんは①調理動線、②冷蔵庫の配置、③洗い場のスペース。これがスムーズかどうかです。,今のお店の図面見て、厨房と客席の面積、一回計算してみてください。2割切ってたらマジで危険信号ですわ。,「なんか最近うまく回らへんな」の原因、実はキッチンの狭さかもしれへんで。,狭すぎても広すぎてもアカン。お店の心臓部である厨房の設計、甘く見んといてください。,問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;歩留計算の仕方;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;メニュー開発は固定概念に囚われてはいけない（リフレーミング）
11,スタバの戦略,スタバのギフト、期限切らしたことある人おる？それ、まんまとスタバの戦略にハマってますよ。,「あ、忘れてた！もったいないことしたな…」って後悔したことありません？,もらったギフトカード、財布に入れっぱなしで気づいたら期限切れ…ってやつですわ。,実はそれ、スタバからしたら「おおきに！」なんです。,この仕組みを知らんままでいると、自分のお店で大きな利益を逃してるかもしれへんですよ。,「ギフトカードなんて、ただの前払いやろ？」って軽く考えてませんか？,僕も昔は、ギフト券の売上を単純な売上としてしか見てへんかったんです。,でもその裏で『使われへんかったお金』がどうなってるか、そこまで考えてる人は少ないんですわ。,そのお客さんの『うっかり』が、実は企業の莫大な利益になってるって知ってました？,今日はスタバがギフトカードでどうやって賢く儲けてるか、その仕組みを全部お伝えします。,お客さんが使わへんかったお金は、ただの売上やなくて『ほぼ丸々利益』になるんです。,これって、食材も人件費もかけずに売上だけが立つ『魔法の錬金術』みたいなもんですよ。,スタバの戦略のキモは『失効したギフトカードの売上』。これが経費のかからん純利益になるんです。,ギフトカードって、使われるまでは会計上『負債』。でも期限が切れた瞬間、それが『雑収入』として利益に化けるんですわ。,ギフト総額の5〜10%が失効するんで、スタバの売上から換算すると数十億円規模。これが次の店舗展開の資金になってるんです。,お客さんの「ちょっとした忘れ物」が、企業の成長を支えてるって、えげつない仕組みやと思いません？,この『前受金』の考え方、あなたのお店でもうまく応用できるかもしれへんですね。,物件選びはなんかええな、じゃなくてロジックで選ばなあかん;あなたの店、SNSやる前に現場の空気が整ってますか？;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;ぶっちゃけ飲食店の成功は立地で決まるかどうか;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）
