period_start,period_end,page_type,pv,share_percent,note
2025-12,2025-12,店舗トップ,223,38.8,
2025-12,2025-12,メニュー,163,28.3,
2025-12,2025-12,口コミ・評価,113,19.7,
2025-12,2025-12,料理写真,27,4.7,
2025-12,2025-12,地図・クーポン,21,3.7,
2025-12,2025-12,座席情報,11,1.9,
2025-12,2025-12,内観写真,10,1.7,
2025-12,2025-12,外観写真,4,0.7,
2025-12,2025-12,その他,2,0.3,
2025-12,2025-12,ドリンク写真,1,0.2,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-12,2025-12,地図印刷,0,0.0,
2025-12,2025-12,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
