日付,曜日,PC,スマホ,アプリ,総合
2025-12-01,月,17,13,77,107
2025-12-02,火,38,21,131,190
2025-12-03,水,28,27,18,73
2025-12-04,木,19,43,33,95
2025-12-05,金,22,8,140,170
2025-12-06,土,21,86,63,170
2025-12-07,日,17,35,62,114
2025-12-08,月,17,33,147,197
2025-12-09,火,24,24,27,75
2025-12-10,水,21,30,78,129
2025-12-11,木,27,54,46,127
2025-12-12,金,88,138,97,323
2025-12-13,土,7,26,29,62
2025-12-14,日,4,25,30,59
2025-12-15,月,12,110,44,166
2025-12-16,火,15,58,71,144
2025-12-17,水,19,49,98,166
2025-12-18,木,25,71,72,168
2025-12-19,金,25,25,166,216
2025-12-20,土,1,116,52,169
2025-12-21,日,14,22,34,70
2025-12-22,月,37,20,36,93
2025-12-23,火,23,21,23,67
2025-12-24,水,10,27,37,74
2025-12-25,木,2,74,77,153
2025-12-26,金,12,5,74,91
2025-12-27,土,8,56,135,199
2025-12-28,日,8,62,89,159
2025-12-29,月,9,34,75,118
2025-12-30,火,3,13,83,99
2025-12-31,水,2,16,12,30
