period_start,period_end,page_type,pv,share_percent,note
2025-09,2025-09,店舗トップ,168,38.5,
2025-09,2025-09,メニュー,101,23.2,
2025-09,2025-09,口コミ・評価,92,21.1,
2025-09,2025-09,料理写真,37,8.5,
2025-09,2025-09,内観写真,11,2.5,
2025-09,2025-09,座席情報,9,2.1,
2025-09,2025-09,地図・クーポン,7,1.6,
2025-09,2025-09,その他,6,1.4,
2025-09,2025-09,ドリンク写真,3,0.7,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-09,2025-09,外観写真,2,0.5,
2025-09,2025-09,地図印刷,0,0.0,
2025-09,2025-09,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
