日付,曜日,PC,スマホ,アプリ,総合
2025-09-01,月,25,49,104,178
2025-09-02,火,37,27,46,110
2025-09-03,水,12,8,30,50
2025-09-04,木,19,20,60,99
2025-09-05,金,48,111,71,230
2025-09-06,土,13,44,107,164
2025-09-07,日,16,95,59,170
2025-09-08,月,21,25,82,128
2025-09-09,火,11,7,28,46
2025-09-10,水,13,54,90,157
2025-09-11,木,16,44,97,157
2025-09-12,金,16,56,49,121
2025-09-13,土,6,42,75,123
2025-09-14,日,30,43,58,131
2025-09-15,月,8,67,14,89
2025-09-16,火,10,18,57,85
2025-09-17,水,18,56,51,125
2025-09-18,木,0,59,64,123
2025-09-19,金,5,40,74,119
2025-09-20,土,9,64,119,192
2025-09-21,日,8,52,53,113
2025-09-22,月,11,29,41,81
2025-09-23,火,2,25,83,110
2025-09-24,水,16,25,20,61
2025-09-25,木,28,13,47,88
2025-09-26,金,14,24,87,125
2025-09-27,土,11,33,55,99
2025-09-28,日,5,37,85,127
2025-09-29,月,2,23,67,92
2025-09-30,火,6,20,102,128
