period_start,period_end,page_type,pv,share_percent,note
2025-10,2025-10,店舗トップ,198,36.7,
2025-10,2025-10,メニュー,130,24.1,
2025-10,2025-10,口コミ・評価,128,23.7,
2025-10,2025-10,料理写真,33,6.1,
2025-10,2025-10,座席情報,19,3.5,
2025-10,2025-10,その他,13,2.4,
2025-10,2025-10,地図・クーポン,7,1.3,
2025-10,2025-10,内観写真,6,1.1,
2025-10,2025-10,外観写真,4,0.7,
2025-10,2025-10,ドリンク写真,2,0.4,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-10,2025-10,地図印刷,0,0.0,
2025-10,2025-10,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
