日付,曜日,PC,スマホ,アプリ,総合
2025-10-01,水,18,24,22,64
2025-10-02,木,36,35,97,168
2025-10-03,金,32,89,77,198
2025-10-04,土,10,67,111,188
2025-10-05,日,7,32,50,89
2025-10-06,月,16,18,78,112
2025-10-07,火,8,26,14,48
2025-10-08,水,10,18,38,66
2025-10-09,木,19,30,22,71
2025-10-10,金,14,42,56,112
2025-10-11,土,11,40,37,88
2025-10-12,日,14,41,63,118
2025-10-13,月,30,14,63,107
2025-10-14,火,9,47,102,158
2025-10-15,水,25,69,60,154
2025-10-16,木,9,73,203,285
2025-10-17,金,40,40,190,270
2025-10-18,土,13,25,55,93
2025-10-19,日,5,22,94,121
2025-10-20,月,35,17,23,75
2025-10-21,火,28,13,83,124
2025-10-22,水,16,20,48,84
2025-10-23,木,19,31,67,117
2025-10-24,金,11,21,118,150
2025-10-25,土,10,52,154,216
2025-10-26,日,17,22,86,125
2025-10-27,月,8,19,96,123
2025-10-28,火,15,21,60,96
2025-10-29,水,17,79,112,208
2025-10-30,木,22,30,72,124
2025-10-31,金,16,39,25,80
