period_start,period_end,page_type,pv,share_percent,note
2026-01,2026-01,店舗トップ,173,38.7,
2026-01,2026-01,メニュー,127,28.4,
2026-01,2026-01,口コミ・評価,92,20.6,
2026-01,2026-01,地図・クーポン,17,3.8,
2026-01,2026-01,料理写真,13,2.9,
2026-01,2026-01,座席情報,11,2.5,
2026-01,2026-01,その他,8,1.8,
2026-01,2026-01,外観写真,3,0.7,
2026-01,2026-01,内観写真,2,0.4,
2026-01,2026-01,ドリンク写真,1,0.2,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-01,2026-01,地図印刷,0,0.0,
2026-01,2026-01,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
