period_start,period_end,page_type,pv,share_percent,note
2026-05,2026-05,店舗トップ,205,47.8,
2026-05,2026-05,メニュー,88,20.5,
2026-05,2026-05,口コミ・評価,86,20.0,
2026-05,2026-05,料理写真,20,4.7,
2026-05,2026-05,座席情報,12,2.8,
2026-05,2026-05,地図・クーポン,11,2.6,
2026-05,2026-05,内観写真,5,1.2,
2026-05,2026-05,その他,2,0.5,
2026-05,2026-05,ドリンク写真,0,0.0,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-05,2026-05,外観写真,0,0.0,
2026-05,2026-05,地図印刷,0,0.0,
2026-05,2026-05,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
