period_start,period_end,page_type,pv,share_percent,note
2026-03,2026-03,店舗トップ,180,49.2,
2026-03,2026-03,口コミ・評価,73,19.9,
2026-03,2026-03,メニュー,66,18.0,
2026-03,2026-03,料理写真,18,4.9,
2026-03,2026-03,その他,11,3.0,
2026-03,2026-03,地図・クーポン,6,1.6,
2026-03,2026-03,内観写真,5,1.4,
2026-03,2026-03,座席情報,4,1.1,
2026-03,2026-03,外観写真,2,0.5,
2026-03,2026-03,ドリンク写真,1,0.3,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-03,2026-03,地図印刷,0,0.0,
2026-03,2026-03,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
