日付,曜日,PC,スマホ,アプリ,総合
2026-03-01,日,1,41,35,77
2026-03-02,月,16,19,19,54
2026-03-03,火,5,75,25,105
2026-03-04,水,12,26,40,78
2026-03-05,木,16,31,68,115
2026-03-06,金,19,38,53,110
2026-03-07,土,8,37,53,98
2026-03-08,日,6,12,17,35
2026-03-09,月,12,7,26,45
2026-03-10,火,12,19,26,57
2026-03-11,水,23,75,39,137
2026-03-12,木,24,59,21,104
2026-03-13,金,15,35,37,87
2026-03-14,土,9,83,19,111
2026-03-15,日,3,23,36,62
2026-03-16,月,13,114,82,209
2026-03-17,火,9,26,60,95
2026-03-18,水,9,43,49,101
2026-03-19,木,19,148,33,200
2026-03-20,金,12,34,64,110
2026-03-21,土,6,28,15,49
2026-03-22,日,5,34,40,79
2026-03-23,月,8,43,30,81
2026-03-24,火,15,43,47,105
2026-03-25,水,8,7,89,104
2026-03-26,木,20,48,41,109
2026-03-27,金,32,91,36,159
2026-03-28,土,4,51,32,87
2026-03-29,日,7,53,10,70
2026-03-30,月,5,28,18,51
2026-03-31,火,13,33,49,95
