period_start,period_end,page_type,pv,share_percent,note
2026-06,2026-06,店舗トップ,174,48.2,
2026-06,2026-06,口コミ・評価,62,17.2,
2026-06,2026-06,メニュー,56,15.5,
2026-06,2026-06,料理写真,29,8.0,
2026-06,2026-06,その他,15,4.2,
2026-06,2026-06,座席情報,9,2.5,
2026-06,2026-06,地図・クーポン,5,1.4,
2026-06,2026-06,ドリンク写真,4,1.1,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-06,2026-06,内観写真,4,1.1,
2026-06,2026-06,外観写真,3,0.8,
2026-06,2026-06,地図印刷,0,0.0,
2026-06,2026-06,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
