No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,食品消費税ゼロが飲食店にもたらす影響,食料品消費税ゼロ、ちゃんと確認してますか？これ、飲食店にとっては罠ですよ。,「どうせテイクアウトの話やろ？」とか「まだ先のことやん」って、正直思ってません？,ニュースで見たけど、まあ税理士さんがやってくれるわって後回しにしてるんとちゃいます？,それ、ほんまに危ないです。,気づいた時には申告ミスで追徴課税。利益が吹っ飛んで、資金繰り火の車になりますよ。,ぶっちゃけ、税金の話ってややこしいし、現場で手一杯やから考えたくない、が本音でしょ？,日々の売上とか仕入れで頭がいっぱいなのは、めちゃくちゃ分かります。,でも心のどこかで「もし間違ってたらどうしよう…」って不安になってるんとちゃいますか？,その不安、今のうちに対策しとかんと、ほんまに手遅れになりますよ。,このリールでは、消費税ゼロで飲食店が今すぐやるべきこと、たった3つに絞ってお伝えします。,知ってる店はちゃんと対応できるけど、知らん店は逆に損する。そんな制度なんです。,例えば、店内で食べるパスタと、持ち帰りのパスタソース。この税率区分、ちゃんと説明できますか？,正解は3つだけ。これ以外やらんでいいです。,①制度の前提を確認、②POSの設定を見直し、③税理士さんと控除方式を再計算。この3つです。,まずは顧問の税理士さんに「消費税ゼロの件、うちの店への影響ってどうなります？」って電話一本入れてみてください。,ややこしい税金の話も、一個ずつ潰していけば怖くない。未来の安心のために、今動きましょ。,税制が変わる時は、知ってるか知らないかで天国と地獄です。まずは専門家への確認から。,撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;やりがいじゃなく仕掛けマネジメント;人気店は「やりたくないこと」も決めてる;物価高の今やるべきこと;googleマップの口コミ=顧客体験（小手先で上げれるものではない）
2,人件費を真っ先に削ると人を失います,人件費削った瞬間から、閉店への一歩を踏み出してますよ。,売上が厳しいから、まず人件費から…って考えてしまう気持ち、めっちゃ分かります。,とりあえずシフトを減らしたり、新しい人を入れへんかったり、やりがちですよね。,でもそれ、一番やったらあかん打ち手なんです。,ええスタッフが辞めて、店の雰囲気が悪なって、お客さんも離れて…気づけば誰もいなくなります。,「人は代わりがおる」って、心のどこかで思ってません？,ほんまはスタッフを大事にしたいけど、数字を見るとつい削りたくなってしまうんですよね。,『なんでこんなに払わなあかんのや…』って、内心しんどくなってるんちゃいます？,その気持ちも分かります。でも人件費はコストやなくて、未来への投資なんですわ。,今日は、人を削らずに利益を出す『賢い人件費の使い方』を話します。,人を『コスト』と見る店は廃れ、『資産』と見る店は伸び続けます。,料理人がおらんと料理が出せんのと同じで、サービスする人がおらんと満足は生まれへんのです。,結論、人件費は『削る』んやなくて、『稼働設計』を見直して最適化するんです。,やることはシンプル。客数予測、時間帯ごとの必要人数、そしてスタッフのスキルをちゃんと見ること。,まずは過去1ヶ月の売上データを1時間ごとに見て、お客さんの波を把握することから始めてください。,スタッフが笑顔で働ける店は、自然とお客さんも集まってくるもんですよ。,シフトと客数の重なりを、1時間単位で見直してみてください。,始めるより、撤退が上手い店が勝つ;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;ぶっちゃけ飲食店の成功は立地で決まるかどうか;POSレジの紹介;売上目標の決め方
3,儲かりやすいが潰れやすい、儲かりにくいが潰れにくい,日常食は潰れにくいけど儲からん。特別食は儲かるけど、普通にやれば潰れます。,結局、どっちの業態でやればええねん…って、頭抱えてませんか？,「儲かりそう」ってだけで特別食に手ぇ出したり、「安定」を求めて日常食にしたり…安易に決めてません？,それ、一番あかん決め方です。,このままやと、日常食は薄利多売で疲弊。特別食はブームが去って閑古鳥。どっちも目に見えてます。,たぶん今、「自分の店はどっちのタイプなんやろ？」って、ちょっと不安になってますよね。,そら儲けたいけど、潰れるのはもっと怖い。その気持ち、痛いほど分かります。,結局、みんな「失敗したくない」っていうのが本音なんですよね。,でも気持ちだけでは勝てません。戦略なしで戦場に出たら、そら負けますよ。,今から、日常食と特別食、それぞれの“勝ち筋”をハッキリさせますんで、よう聞いといてください。,ラーメン屋さんと高級フレンチが、同じ戦い方したらどっちも潰れると思いません？,日常食は毎日使う歯ブラシ、特別食は記念日に買うプレゼントみたいなもん。売り方が全然違うんです。,結論、日常食は「回転率と再現性」。特別食は「客単価と演出」。これが全てです。,日常食は、誰が作っても同じ味で、いかに早く出せるか。特別食は、ここでしかできひん体験に、いくら払ってもらえるかです。,あなたの店はどっちですか？日常食ならオペレーションの見直し。特別食ならメニューブックや内装からテコ入れしてください。,自分の店の“武器”がどっちか分かれば、戦い方は自然と見えてきます。大丈夫。,まず「潰れにくさ」か「稼ぎやすさ」か。どっちを取るか決めてから、もう一回事業計画見直してみてください。,財務三表の説明;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;始めるより、撤退が上手い店が勝つ;AI×飲食　ChatGPTでできる3つの時短
4,居抜き物件を選んだら失敗,居抜き物件を選んだ時点で、もう失敗は始まってますよ。,「初期費用が安く済む！」って、ラッキーやと思てませんか？,内装もキレイやし、厨房機器もまだ使えるからって、安易に決めてません？,でもそれ、一番危ない選び方なんです。,結局、動線が悪くてオペレーションが回らんとか、追加工事で高くついたりとか…“安物買いの銭失い”になるだけです。,たぶん今、“自分のやりたい店”より“物件の安さ”を優先してしまってますよね？,そら、開業資金は1円でも安く抑えたい。その気持ちは、めっちゃ分かります。,「このチャンス逃したら次はないかも」って、ちょっと焦る気持ちもあるんちゃいます？,その勢いは大事ですけど、その物件、ほんまにあなたの店の“相棒”になってくれますかね？,今日は、居抜き物件で失敗せえへんための“絶対に見るべき3つのポイント”を解説します。,「ただ安いだけの物件」を選ぶのと、「自分の店の設計図に合う物件」を選ぶのとでは、スタート地点が全然違います。,言うたら、他人のサイズの服を無理やり着るようなもんですよ。見た目は良くても、動かれへんかったら意味ないでしょ？,居抜き選びで失敗する原因は、結局「何が省略できて、何が省略できないか」を決めずに選んでるからです。,見るべきは、①厨房の動線と排気、②席数と客単価のバランス、③電気・ガスの容量。この3つは絶対です。,まず自分の店の業態、客単価、理想のオペレーションを紙に書き出して、それと物件が合うか一つずつチェックしてください。,最初の物件選びが、この先の5年間の店の“しんどさ”を決めます。焦らんと、じっくりいきましょ。,業態、客単価、オペレーション。この3つがマッチしない物件は、どんなに安くても選んだらあきません。,財務三表の説明;開業してから考えるな　今いるお客さんの視点から逆算しろ;閉業率が高く絶対に選ばない3つの業態;FL60%なんて守っていたらやっていけない;お客様の怒りや渇望→マーケ
5,接客は相手の情景を代弁する,「接客」は相手の情景を代弁するお仕事です。それができひんかったら、ただの注文聞きになってまいますよ。,マニュアル通りにやってるのに、なんでかお客様の満足度が上がらん…って悩んでませんか？,「おすすめはこれです！」とか「本日限定です！」って、こっちの言いたいことばっかり伝えてません？,それ、お客様が聞きたいこととちゃいますねん。,その一方的な接客、お客様は「なんか急かされてるな」って感じて、もう二度と来てくれへんようになりますよ。,メニューの前で固まってるお客様見て、「はよ決めてくれへんかな…」って心の中で思てたりしません？,忙しい時ほど、お客様の迷いがもどかしく感じる気持ち、めっちゃ分かります。,でもほんまは、お客様も「失敗したくない」「美味しいもん食べたい」って真剣に悩んでるだけなんですよね。,その気持ちに気づかんとただ待ってるだけやったら、お店のファンは増えません。,このあと、お客様が「そう！それが言いたかったんや！」って感動する一言の見つけ方を教えます。,ただ商品を説明するだけの接客と、お客様の迷いを言葉にする接客。満足度が全然違います。,例えるなら、森で迷ってる人に「あっちに綺麗な花ありますよ」って言うてるようなもん。まず現在地を教えてあげなあかんのです。,ええ接客は、相手が言葉にできてへん「情景」を代わりに言語化する行為なんです。,例えば「お肉かお魚か、どっちの気分かで迷われてますか？」とか「さっぱりしたものがええか、ガッツリいきたいか、ですかね？」みたいに。,相手の頭の中を先に整理してあげるんです。目の前の人が「何に迷っているか」を言語化してから話し始めてみてください。,「この店員さん、私のこと分かってくれてる」って感じた瞬間、お客様はもうあなたのお店のファンです。,接客は作業やない。お客様の心の中を覗き込むことから始めてみてください。,ゾーニング;地域密着型店舗の落とし穴;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;始めるより、撤退が上手い店が勝つ;アルバイトの定着
6,あなたのお店の看板商品、1日に何食売れば儲かるのか（限界利益）,あなたのお店の看板商品、1日に何食売れたら儲かるか即答できますか？できひんかったら、それ穴の空いたバケツで水運んでるようなもんですよ。,売上はそこそこやのに、月末になると「あれ、利益どこいったん？」ってなってませんか？,「今日もよう出たなー」って、売れた数だけ見て安心してるお店、ほんまに多いですわ。,それ、一番危ない考え方なんです。,気づいた時には「忙しい貧乏」まっしぐら。頑張ってるのに赤字になる店、これで潰れるんですよ。,「原価率はちゃんと見てるで」って思ってません？でも、それだけやと全然足りてないんです。,僕も昔、売上だけ追っかけてて、どこがゴールか分からんまま走ってしんどい時期がありました。,本当は、この一皿でお店にいくらお金が残るんか、ちゃんと知りたいんですよね。,その気持ち、痛いほど分かります。でも、そこから目を背けてたら、一生お金の不安は消えへんのです。,今日は、あなたのお店の『ほんまの儲け』がくっきり見える、限界利益の話をします。,売上の数字だけ見て一喜一憂するのと、1食ごとの利益を積み上げていくの、どっちが安心できます？,これって、ゴールまでの距離を知らんとマラソン走ってるようなもん。そら不安になりますよね。,見るべきは売上やない。1食売れたときにいくら手元に残るか、この限界利益です。,計算はめっちゃ簡単。売価から、その一皿にかかる材料費とかの変動費を引くだけ。,まず看板商品の限界利益を出して、毎月の固定費をそれで割ってみてください。それが『最低でも売らなあかん数』ですわ。,この数字が見えた瞬間、『あと何食売ればええんや』ってゴールが見えて、日々の営業がめっちゃ楽になりますよ。,今すぐ、あなたのお店の看板商品の「売価 − 変動費」を紙に書き出してみてください。,ぶっちゃけ飲食店の成功は立地で決まるかどうか;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;ゾーニング
7,高級店と安いお店,高級店が安売りしたら終わり。大衆店が背伸びしても誰も来ませんよ。,『うちの店、どっちつかずになってへんかな…』って不安になってませんか？,周りの安い店見て焦って値下げしたり、逆に高級店を真似て無理に高いメニュー入れたりしてません？,それ、一番やったらあかんやつです。,結局、どっちのお客様からも『なんか違う』って思われて、誰も来んようになります。,『売上上げたいけど、安売りはしたくない…でも高級路線はしんどい…』って板挟みになってません？,その気持ち、めっちゃ分かります。僕も昔は価格設定でずっと悩んでました。,本当は、自分のお店の価値を信じて、堂々と商売したいだけなんですよね。,でも、その迷いがお客様に伝わったら、お店の魅力は半減してしまいますよ。,今日は、自分のお店の『立ち位置』を間違えずに、ちゃんと利益を出す方法を話します。,中途半端なお店は忘れられる。でも、立ち位置が明確なお店はずっと愛されます。,高級寿司屋が急に100円寿司のメニュー始めても誰も喜ばへんし、逆もまた然りですよね？,毎回価格帯で失敗するのは、目指してるゴールの場所が間違ってるだけなんです。,決めるべきは『誰に』『どんな気持ちで』帰ってほしいか。ただそれだけです。,まず紙に『うちの一番のお客さんはどんな人か』を書き出して、その人が喜ぶことだけを考えてみてください。,あなたのお店が本当に輝く場所は、高級とか安いとか、そういう次元の話やないはずです。,来てほしいお客様の顔がハッキリ浮かぶまで、お店の方向性を決めんといてください。,価値を人に宿すと、集客が強くなる;飲食店経営は“戦時”と“平時”を分けて考えろ;AI×飲食　ChatGPTでできる3つの時短;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;焼肉屋の仕込みの壁を超える仕組みとは
8,写真やデザインをケチったらあかん,味やサービス云々の前から負けてますよ。,「料理さえ美味しければお客さんは来る」って、まだ本気で思てます？,スマホで撮った暗い写真とか、無料テンプレートで作ったメニューとか、心当たりないですか？,それ、節約ちゃうくて、お店の価値を自分で下げてるだけやで。,そのせいで「なんか安っぽいな」って思われて、自慢の料理がお客様の口に届く前にスルーされてまうんですよ。,ほんまは、デザインとか写真にお金かけるのって、もったいないって感じてません？,「料理で勝負したい」その気持ち、めっちゃ分かります。,でも本音は「お金かけた分、ほんまに効果あるんか？」って不安なんですよね。,その不安が、一番の機会損失になってるって気づかなあきません。,このあと、お金をかけんでもお店の価値を一瞬で伝える方法、話しますわ。,「美味しそうな写真」と「ただ撮っただけの写真」、どっちにお金払いたいですか？答えは明白ですよね。,お店の外観やメニューは、料理が出てくる前の「前菜」みたいなもん。そこで期待感を上げられな、メインディッシュまでたどり着かへんのです。,写真やデザインは「飾り」やない。このお店が「どういう場で、どう過ごしてほしいか」を一瞬で伝えるための「言葉」なんです。,大事なんは３つ。「誰に」「何を」「どう感じてほしいか」。これをデザインに落とし込むんです。,まずは一番目につく看板とメニュー写真から。プロに頼むのが一番やけど、今はスマホでも綺麗に撮るコツ、いっぱいあります。,あなたが魂込めて作った料理の価値、ちゃんと伝わってますか？デザインは、その価値を届けるための最後のひと押しなんです。,誰かに看板を見せて「何のお店か3秒で伝わる？」って聞いてみてください。それが答えですわ。,人気店は「やりたくないこと」も決めてる;加工品を賢く取り入れる;ゾーニング;飲食店がキッチンカー参入で儲からない理由;マクドナルドから真似すべき戦法
9,社長自ら集客する覚悟がないなら飲食業は向かん,社長、あなた自らチラシの一枚でも配りましたか？,「集客は誰かがやってくれるもんや」とか「現場はスタッフに任せてる」とか、思てません？,SNSの更新だけして、あとはお客様が来るのをただ待ってるだけになってませんか？,それ、社長の仕事ちゃいますよ。,このままやと、売上が天気に左右されるだけの「待ち」の経営から抜け出せず、じわじわ資金が尽きていくだけです。,「社長が現場に出るのはカッコ悪い」とか、心のどこかでプライドが邪魔してません？,分かりますよ。経営者はもっと戦略的な仕事せなあかんって思いますもんね。,でも本音は「何から手ぇつけてええか分からん」とか「今さら人に聞かれへん」って不安なんちゃいます？,その気持ち、僕も痛いほど分かります。でも、お店を守れるんは社長、あなただけですよ。,このあと、社長が今すぐやるべき「数字と行動」の話をします。暇な時間を利益に変える具体的な方法です。,指示だけ出す社長と、背中で見せる社長。スタッフのやる気も、お店の空気も全然ちゃいます。,お店が暇なんは、船に穴が空いてるのと同じ。船長が自ら穴を塞ぎに行かんと、沈むだけですわ。,社長の仕事は、数字に責任を持つこと。これだけです。,まず損益分岐点の売上と客数を壁に貼る。次に、その数字を達成するための行動リストを作る。最後に、それを実行する。,お店が暇なら、その損益分岐点まであと何人か、社長が自分で埋めに行くんです。近所に挨拶回りするとか、手配りチラシ作るとか。,その必死な姿を見て、スタッフも「この店のために頑張ろう」って思うんです。売上以上に大事なもんが得られますよ。,「あと何人で黒字か」を毎日直視して、行動で示してください。それができる人だけが、飲食店の社長を名乗る資格があるんです。,ゾーニング;ABC分析;SNSなんて正直めんどい　でも伝える努力をやめへん理由;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;ぶっちゃけ飲食店の成功は立地で決まるかどうか
10,当たり前のことをしても感謝されない,当たり前のことをしても感謝はされません。,「うちはちゃんとやってるのに、なんでお客さんは喜んでくれへんのやろ」って、モヤモヤしてませんか？,綺麗な店内、元気な挨拶、美味しい料理。全部しっかりやってるのに…って思ってますよね？,でもそれ、お客さんからしたら全部「普通」なんですわ。,このままやと、頑張れば頑張るほど「なんで報われへんのや」って、スタッフも自分も疲弊する店になりますよ。,「いやいや、うちの当たり前はレベル高いで」って、心のどこかで思ってませんか？,ほんまは、自分たちの頑張りがちゃんと伝わって「ありがとう」って言われたいんですよね？,毎日必死でやってるのに手応えがない。このままでええんやろか…って不安になりますよね。,その気持ち、めっちゃ分かります。でも、お客さんの「当たり前」の基準を知らんままやと、一生そのループから抜け出せません。,じゃあどうすればええか。この後、お客さんの期待を超えるための、たった一つの考え方をお伝えします。,「普通に美味しい店」と「また絶対来たい！って感動する店」、その違いって何やと思います？,例えば、雨の日に「濡れましたよね」ってタオルをスッと渡される。これって料理の味とは別の価値ですよね？,答えはシンプル。お客さんが普通と思ってるラインを正確に理解して、それを0.1mmでも超えることです。,やることは3つ。①お客さんの「当たり前」を書き出す、②それを超える「ちょっとした気遣い」を考える、③それを実行する。,例えば「お冷を出す」が当たり前なら、「暑い日は氷多めで」とか「食後に温かいお茶もいかがですか？」とか。そういう小さなことでええんです。,今までやってきた「当たり前」は、決して無駄やないんです。それにほんの少しプラスするだけで、感謝に変わりますから。,あなたが今までに受けたサービスで感動した点を、ぜひコメントで教えてください。,飲食店がキッチンカー参入で儲からない理由;PLは％で見れるように;お客様の怒りや渇望→マーケ;価値を人に宿すと、集客が強くなる;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる
