予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250604 20:45:49,顧客キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250719,1700,1830,,,,3,,A3,,,,,,,
20250606 21:52:17,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250705,1800,2000,『各種120分飲み放題付』宴会にオススメ！!チーズダッカルビスタンダードコース!!3980円,4378,,4,HPG即,A3,SCJ395109,200,,,,,
20250610 20:12:37,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250705,1700,1830,お席のみのご予約,,,2,HPG即,A1,SCJ736145,100,,,,,
20250614 17:50:27,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250726,1400,1600,お席のみのご予約,,,4,HPG即,A3,SCK115356,40,,"ライトチーダ
生ビール有り
",,,
20250619 19:03:41,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250711,1800,2000,お席のみのご予約,,,5,HPG即,"A3, A4",SCK576877,250,,,,,
20250621 10:07:04,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250702,1830,2000,お席のみのご予約,,,2,HPG即,A3,SCK733050,0,,,,,
20250622 16:49:33,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250705,1930,2100,お席のみのご予約,,,2,HPDS即,B3,SCK864917,,サムギョプサルを注文予定です,,,,
20250623 08:39:09,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250712,1800,1930,お席のみのご予約,,,3,HPG即,B4,SCK912635,150,,,,,
20250623 11:02:57,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250705,1800,1930,お席のみのご予約,,,2,HPG即,A5,SCK919626,100,,,,,
20250625 12:52:05,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250724,1130,1300,お席のみのご予約,,,4,HPG即,A1,SCL103148,40,乳児を連れていくので、ベビーカーが置ける席だと嬉しいです。大人3人乳児1人です。よろしくお願いします。,,,,
20250625 18:23:03,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250703,1130,1300,お席のみのご予約,,,2,HPG即,A5,SCL132122,20,,,,,
20250625 22:46:48,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250703,1900,2030,,,,4,,B4,,,,,,,
20250626 21:12:03,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250704,1815,2015,,,,16,,"B1, B2, B3, B4, D個室1",,,,"コース
後日詳細連絡あり
チーダ
ペゴパヨ
生
ポテト
",,,
