予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260328 18:12:26,貴店キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260529,1900,2030,お席のみのご予約,,,3,HPG即,D個室1,SDF582469,0,,,,,
20260404 07:20:58,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1730,1910,,,,5,,D個室1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20260409 17:18:11,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1930,お席のみのご予約,,,2,HPG即,A1,SDH031639,0,,,,,
20260410 19:12:34,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1900,2030,お席のみのご予約,,,3,HPG即,B3,SDH170591,150,,,,,
20260411 15:52:59,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260515,1900,2030,お席のみのご予約,,,2,HPDS即,A1,SDH267134,,,,,,
20260411 17:28:57,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1900,2030,お席のみのご予約,,,5,HPG即,A1,SDH283666,0,,,,,
20260413 23:53:11,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1900,2030,お席のみのご予約,,,5,HPG即,"B1, B2",SDH541141,250,,,,,
20260415 17:43:02,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260509,1745,1915,お席のみのご予約,,100,2,HPG即,A5,SDH704393,100,,,,,
20260416 11:39:52,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260508,1700,1920,『各種120分飲み放題付』宴会にオススメ！!チーズダッカルビスタンダードコース!!3980円,4378,,6,HPG即,"A3, A4",SDH777298,300,,,,,
20260416 12:09:32,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260505,1700,1915,お席のみのご予約,,,3,HPG即,B3,SDH782139,150,,,,,
20260418 05:59:12,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1800,2000,『各種120分飲み放題付』宴会にオススメ！生サムギョプサルのペゴパヨコース!!5000円,5500,,7,HPDS即,"A3, A4",SDH998221,,,,,,
20260418 13:10:36,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1930,お席のみのご予約,,,6,HPG即,"B1, B2",SDJ030262,0,,,,,
20260418 13:11:54,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1805,1935,,,,2,,D個室1,,,,,,,
20260420 15:05:04,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1700,1840,お席のみのご予約,,,2,HPG即,A5,SDJ265487,100,,,,,
20260422 12:22:04,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,2000,『各種120分飲み放題付』生サムギョプサルのスタンダードコース!!3980円,4378,,6,HPG即,"A3, A4",SDJ471067,300,,,,,
20260423 21:59:21,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260506,1730,1900,お席のみのご予約,,,8,HPG即,"B3, B4",SDJ663361,400,,,,,
20260424 22:58:15,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260507,1800,1930,お席のみのご予約,,,2,HPG即,A1,SDJ797955,100,,,,,
20260425 10:35:44,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260516,1900,2030,お席のみのご予約,,,5,HPG即,"B1, B2",SDJ824952,250,,,,,
20260426 09:58:44,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1935,お席のみのご予約,,1000,2,HPG即,A1,SDJ923017,100,,,,スマート支払い(決済完了),12651
20260426 13:22:03,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1940,お席のみのご予約,,,6,HPG即,"B1, B2",SDJ977868,300,,,,,
20260426 21:19:14,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1930,,,,2,,B3,,,,,,,
20260426 21:19:49,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1900,2030,,,,2,,D個室2,,,,,,,
20260428 07:17:32,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,2000,『各種120分飲み放題付』大人気のチュクミサムギョプサルのスタンダードコース!!4500円,4950,,9,HPGリク,"B3, B4",RAV303380,0,,,,,
20260428 07:47:37,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1815,1945,,,,2,,B4,,,,,,,
20260429 10:36:07,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1930,2100,お席のみのご予約,,,4,HPG即,B4,SDK346209,200,,,,,
20260429 13:42:57,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1800,1930,,,,2,,D個室1,,,,,,,
20260429 13:43:06,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1810,1940,,,,2,,B4,,,,,,,
20260429 14:22:05,退店,電話,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260517,1400,1830,,,,10,,"B2, B3, B4",,,,,,,
20260430 00:30:21,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260505,1800,1930,お席のみのご予約,,,2,HPG即,A3,SDK471597,100,,,,,
20260430 08:32:13,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1700,1850,お席のみのご予約,,,3,HPG即,A5,SDK482656,150,,,,,
20260430 14:46:53,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1130,1300,お席のみのご予約,,,3,HPG即,A5,SDK518164,30,,,,,
20260430 17:22:17,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1800,1930,お席のみのご予約,,,2,HPG即,A1,SDK537779,100,,,,,
20260430 18:49:40,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1800,1930,お席のみのご予約,,,2,HPG即,A3,SDK555754,100,,,,,
20260430 19:12:31,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1230,1400,,,,2,,A5,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20260430 19:29:57,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260505,1800,1945,お席のみのご予約,,,5,HPG即,B4,SDK562228,250,,,,,
20260430 21:11:40,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260502,1830,2000,お席のみのご予約,,,3,HPG即,A1,SDK585430,150,,,,,
20260430 21:39:22,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260503,1935,2105,,,,2,,D個室1,,,,,,,
20260430 23:00:05,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1900,2030,お席のみのご予約,,,2,HPDS即,B1,SDK604886,,,,,,
20260501 11:31:28,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1135,1305,,,,2,,A1,,,,,,,
20260501 12:03:56,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1210,1340,,,,2,,A3,,,,,,,
20260501 12:18:16,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1220,1350,,,,1,,A4,,,,,,,
20260501 12:22:38,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260508,1900,2030,お席のみのご予約,,,6,HPG即,"B1, B2",SDK644376,300,,"減るかも当日
",,,
20260501 12:42:56,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1250,1420,,,,1,,B2,,,,,,,
20260501 12:43:59,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1800,1940,お席のみのご予約,,,2,HPG即,B2,SDK646064,100,,,,,
20260501 17:02:27,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1700,1830,,,,2,,A1,,,,,,,
20260501 17:03:15,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1700,1830,,,,3,,B3,,,,,,,
20260501 17:22:58,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,2000,2130,,,,3,,A1,,,,,,,
20260501 17:33:05,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1730,1900,,,,2,,B4,,,,,,,
20260501 17:42:06,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260501,1740,1910,,,,2,,A4,,,,,,,
