日付,曜日,PC,スマホ,アプリ,総合
2026-02-01,日,1,10,36,47
2026-02-02,月,12,21,28,61
2026-02-03,火,8,12,27,47
2026-02-04,水,24,51,65,140
2026-02-05,木,25,23,33,81
2026-02-06,金,12,11,43,66
2026-02-07,土,3,15,5,23
2026-02-08,日,7,5,48,60
2026-02-09,月,13,22,6,41
2026-02-10,火,8,3,12,23
2026-02-11,水,16,13,33,62
2026-02-12,木,24,37,60,121
2026-02-13,金,11,27,72,110
2026-02-14,土,6,14,62,82
2026-02-15,日,13,43,28,84
2026-02-16,月,24,31,14,69
2026-02-17,火,15,12,47,74
2026-02-18,水,10,98,95,203
2026-02-19,木,10,28,36,74
2026-02-20,金,13,22,116,151
2026-02-21,土,9,16,114,139
2026-02-22,日,5,21,118,144
2026-02-23,月,13,22,52,87
2026-02-24,火,16,27,104,147
2026-02-25,水,21,81,92,194
2026-02-26,木,11,23,56,90
2026-02-27,金,14,14,11,39
2026-02-28,土,3,100,99,202
