period_start,period_end,page_type,pv,share_percent,note
2026-02,2026-02,店舗トップ,182,52.4,
2026-02,2026-02,メニュー,86,24.8,
2026-02,2026-02,口コミ・評価,42,12.1,
2026-02,2026-02,料理写真,13,3.7,
2026-02,2026-02,座席情報,8,2.3,
2026-02,2026-02,その他,6,1.7,
2026-02,2026-02,地図・クーポン,6,1.7,
2026-02,2026-02,内観写真,3,0.9,
2026-02,2026-02,外観写真,1,0.3,
2026-02,2026-02,ドリンク写真,0,0.0,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-02,2026-02,地図印刷,0,0.0,
2026-02,2026-02,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
