No,タイトル,フック,解決策,エンド,処理済み
1,限界利益と粗利の違い,まさか限界利益と粗利の違い分からん飲食店オーナーいませんよね？,定義・目的が明確に異なる、別の利益指標です,"飲食店経営は「売上を作る業態」ではなく、「固定費を回収する業態」なので
判断軸は「粗利」ではなく「限界利益」に置くべきです",
2,PMの重要性,"夢見てた飲食店が大失敗に終わりたくないなら
たった一人味方に付けるだけなんです",飲食店を作るときは、全部を最後まで管理する人を1人決めないと失敗します。,"プロジェクトマネジメントがあなたの仕事ではないはずです
外部へ依頼して本来集中すべき目の前の仕事に振り切りましょう",
3,飲食店の媒体依存からインフルエンサー依存,インフルエンサー使ってるお店は今後流行らんくなりますよ,グルメ媒体依存からインフルエンサー依存に変わっただけなんです,"集客は飲食店経営において舵みたいなものです
自分のお店の未来を媒体やインフルエンサーに委ねるのはやめましょう",
4,輪ゴムの使用は禁止,今すぐ輪ゴムをキッチンで使ってる人全部捨ててください,日本のHACCP関連の公的資料では衛生管理上の配慮としてキッチン内に持ち込まないようにすることが推奨されている,"他にもホチキス、クリップ、輪ゴム等の小さく、飛散・落下しやすく、異物混入リスクがあるものは使わないほうがいいです",
5,キッチン内ではアクション数を減らせ,キッチンの中ではとにかくアクションを減らさなあかん,"提供時間の遅れ、調理ミスによるロス、厨房内事故を低減させます","調理工程を見直し一個でも省ける作業がないか、動線を変えるだけでスムーズに動けないかを再確認してください",
6,お通しカット有り？無し？,お通しカットは有り派ですか？無し派ですか？,そもそもお客様としっかりコミュニケーションを取っていたらトラブルにはなりません,"お会計時に揉めるのはちゃんと説明がなかったり、お通しがお金取れるようなクオリティじゃない証拠です",
7,社長の仕事は「こなす」ではなく「積み上げる」,「こなす」仕事から「積み上げる」仕事に切り替えた瞬間から社長業です,どこまで行ってもお店の一番の評価はどれだけ利益を残したかです,"今目の前の仕事をこなしているのでは集客に時間が使えません
社長は未来の利益を今作るために日々コツコツと積み上げる仕事をしてください",
8,脳内優先順位が1位じゃないと存在してないのと同じ,"日本一高い山は富士山、では二番目に高い山を答えられますか？",脳内優先順位が1位じゃないと存在してないのと同じです,そのジャンル、そのエリアであなたのお店が一番最初に名前が出るくらい本気で外部露出して行きましょう,
9,キッチン内でのタバコ,"キッチン内でタバコ吸ってるお店、それ違法ですよ","改正健康増進法に基づく原則屋内禁煙の規定に反する可能性が高く、行政指導・罰則の対象となり得ます","キッチン内での喫煙は法的・衛生的リスクが高く、お店を守る意味でも禁止すべきです
今日からルール化し喫煙場所を分離してください",
10,物の配置は常時・随時・一時に分ける,物の配置に理論のない店舗から潰れていきますよ,"全ての物を「常時・随時・一時」に分けてみてください
それぞれ手の届く範囲・1〜2歩で届く範囲・バックヤード
に振り分けるとキッチンがスリムになります",この動画を見終わったら一度キッチンを見渡して無駄がないか教えてください,
11,広告費の目安,広告費を売上の何％使ってるかパッと答えれへんオーナーはヤバいです,"店舗の事業フェーズ毎に分けて考えるべきです
新規店舗は7%、既存店舗は3％、再建期は5％が目安です","それぞれコツがあって新規店舗は期限を決めて、既存店は新規ではなく再来店のためのCRM費用、再建期は同時に単価やメニューなども見直す前提で広告費をかけましょう",
12,グルメサイトで妥協するな,隣の店舗が本気で集客に取り組んでるのになんで手抜きでお客様が来ると思ったん？,グルメサイトやグーグルの情報は全て埋めてください,ライティングやシズル感のある写真で頑張って集客している店舗があるのでここの予算はケチってはダメです,
