2026/03/09 11:57 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/03/02","月","2026/03/02 11:33:33","2026/03/02 11:56:24","2","2400","2","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/03/02 11:33:33","20:配膳済"
"2026/03/02","月","2026/03/02 11:33:33","2026/03/02 11:56:24","2","2400","2","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/03/02 11:33:33","20:配膳済"
"2026/03/02","月","2026/03/02 11:38:15","2026/03/02 12:11:13","2","2400","2","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","1","2026/03/02 11:40:40","20:配膳済"
"2026/03/02","月","2026/03/02 11:38:15","2026/03/02 12:11:13","2","2400","2","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 11:40:40","20:配膳済"
"2026/03/02","月","2026/03/02 11:40:29","2026/03/02 12:10:56","1","1100","1","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 並盛x1","1100","1","2026/03/02 11:41:32","20:配膳済"
"2026/03/02","月","2026/03/02 11:42:20","2026/03/02 12:07:04","1","1100","1","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 大盛りx1","1100","1","2026/03/02 11:42:20","20:配膳済"
"2026/03/02","月","2026/03/02 11:42:22","2026/03/02 12:20:42","3","4200","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 11:43:15","20:配膳済"
"2026/03/02","月","2026/03/02 11:42:22","2026/03/02 12:20:42","3","4200","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 11:43:15","20:配膳済"
"2026/03/02","月","2026/03/02 11:42:22","2026/03/02 12:20:42","3","4200","3","ランチ","ランチ","00000004030:お刺身定食","大盛りx1","1800","1","2026/03/02 11:43:15","20:配膳済"
"2026/03/02","月","2026/03/02 11:43:12","2026/03/02 12:20:59","1","2130","2","ランチ","ランチ","00000004030:お刺身定食","大盛りx1","1800","1","2026/03/02 11:43:50","20:配膳済"
"2026/03/02","月","2026/03/02 11:43:12","2026/03/02 12:20:59","1","2130","2","ランチ","サイドメニュー","00000004045:トロロ","","330","1","2026/03/02 11:43:50","20:配膳済"
"2026/03/02","月","2026/03/02 11:43:24","2026/03/02 12:34:34","2","2400","2","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 11:43:39","20:配膳済"
"2026/03/02","月","2026/03/02 11:43:24","2026/03/02 12:34:34","2","2400","2","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 11:43:39","20:配膳済"
"2026/03/02","月","2026/03/02 12:10:27","2026/03/02 12:45:04","2","2400","2","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","1","2026/03/02 12:10:49","20:配膳済"
"2026/03/02","月","2026/03/02 12:10:27","2026/03/02 12:45:04","2","2400","2","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","1","2026/03/02 12:10:49","20:配膳済"
"2026/03/02","月","2026/03/02 12:10:27","2026/03/02 12:43:57","2","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","1","2026/03/02 12:10:49","20:配膳済"
"2026/03/02","月","2026/03/02 12:10:27","2026/03/02 12:45:04","2","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","1","2026/03/02 12:10:49","20:配膳済"
"2026/03/02","月","2026/03/02 12:11:54","2026/03/02 12:36:58","2","2300","2","ランチ","ランチ","00000003135:チキン南蛮定食","少なめx1","1200","1","2026/03/02 12:13:54","20:配膳済"
"2026/03/02","月","2026/03/02 12:11:54","2026/03/02 12:36:58","2","2300","2","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/03/02 12:13:54","20:配膳済"
"2026/03/02","月","2026/03/02 12:21:34","2026/03/02 12:50:07","1","1100","1","ランチ","ランチ","00000004027:とり天定食","ユーリンチー風x1 / 並盛x1","1100","1","2026/03/02 12:22:50","20:配膳済"
"2026/03/02","月","2026/03/02 12:22:16","2026/03/02 13:00:49","1","1200","1","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","1","2026/03/02 12:22:53","20:配膳済"
"2026/03/02","月","2026/03/02 12:24:48","2026/03/02 14:03:27","0","4900","1","ウーバーイーツ","鰻料理","00000004087:uberうな重梅肝焼き","","4900","1","2026/03/02 12:24:48","20:配膳済"
"2026/03/02","月","2026/03/02 12:31:20","2026/03/02 13:19:25","2","3000","2","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/03/02 12:32:29","20:配膳済"
"2026/03/02","月","2026/03/02 12:31:20","2026/03/02 13:19:25","2","3000","2","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/03/02 12:32:29","20:配膳済"
"2026/03/02","月","2026/03/02 12:42:59","2026/03/02 13:15:52","4","4700","4","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/02 12:43:45","20:配膳済"
