period_start,period_end,page_type,pv,share_percent,note
2026-04,2026-04,店舗トップ,195,52.7,
2026-04,2026-04,口コミ・評価,68,18.4,
2026-04,2026-04,メニュー,62,16.8,
2026-04,2026-04,座席情報,13,3.5,
2026-04,2026-04,料理写真,12,3.2,
2026-04,2026-04,地図・クーポン,7,1.9,
2026-04,2026-04,その他,6,1.6,
2026-04,2026-04,内観写真,5,1.4,
2026-04,2026-04,ドリンク写真,1,0.3,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2026-04,2026-04,外観写真,1,0.3,
2026-04,2026-04,地図印刷,0,0.0,
2026-04,2026-04,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
