日付,曜日,PC,スマホ,アプリ,総合
2026-04-01,水,4,27,16,47
2026-04-02,木,10,17,59,86
2026-04-03,金,13,56,95,164
2026-04-04,土,5,29,60,94
2026-04-05,日,3,92,75,170
2026-04-06,月,5,16,40,61
2026-04-07,火,14,20,33,67
2026-04-08,水,23,25,33,81
2026-04-09,木,24,29,102,155
2026-04-10,金,15,45,41,101
2026-04-11,土,12,51,14,77
2026-04-12,日,10,21,50,81
2026-04-13,月,24,146,50,220
2026-04-14,火,18,43,38,99
2026-04-15,水,22,49,123,194
2026-04-16,木,6,16,75,97
2026-04-17,金,8,15,32,55
2026-04-18,土,8,66,156,230
2026-04-19,日,7,26,97,130
2026-04-20,月,10,24,24,58
2026-04-21,火,6,9,23,38
2026-04-22,水,11,16,48,75
2026-04-23,木,13,44,12,69
2026-04-24,金,18,26,35,79
2026-04-25,土,13,82,43,138
2026-04-26,日,11,22,72,105
2026-04-27,月,9,27,83,119
2026-04-28,火,28,280,30,338
2026-04-29,水,11,27,67,105
2026-04-30,木,9,55,66,130
