period_start,period_end,page_type,pv,share_percent,note
2025-11,2025-11,店舗トップ,207,38.2,
2025-11,2025-11,メニュー,141,26.0,
2025-11,2025-11,口コミ・評価,96,17.7,
2025-11,2025-11,料理写真,30,5.5,
2025-11,2025-11,内観写真,21,3.9,
2025-11,2025-11,その他,15,2.8,
2025-11,2025-11,外観写真,12,2.2,
2025-11,2025-11,座席情報,12,2.2,
2025-11,2025-11,地図・クーポン,6,1.1,
2025-11,2025-11,ドリンク写真,2,0.4,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-11,2025-11,地図印刷,0,0.0,
2025-11,2025-11,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
