日付,曜日,PC,スマホ,アプリ,総合
2025-11-01,土,3,73,69,145
2025-11-02,日,29,32,36,97
2025-11-03,月,15,9,29,53
2025-11-04,火,19,43,61,123
2025-11-05,水,24,20,71,115
2025-11-06,木,16,7,115,138
2025-11-07,金,21,36,92,149
2025-11-08,土,4,35,81,120
2025-11-09,日,7,63,113,183
2025-11-10,月,18,64,59,141
2025-11-11,火,20,36,91,147
2025-11-12,水,21,40,16,77
2025-11-13,木,10,78,84,172
2025-11-14,金,26,27,130,183
2025-11-15,土,4,30,52,86
2025-11-16,日,12,27,24,63
2025-11-17,月,35,74,41,150
2025-11-18,火,12,32,32,76
2025-11-19,水,41,71,87,199
2025-11-20,木,40,105,29,174
2025-11-21,金,12,55,57,124
2025-11-22,土,13,50,123,186
2025-11-23,日,10,75,43,128
2025-11-24,月,8,19,34,61
2025-11-25,火,12,52,59,123
2025-11-26,水,32,64,77,173
2025-11-27,木,49,120,88,257
2025-11-28,金,14,54,76,144
2025-11-29,土,4,23,26,53
2025-11-30,日,11,16,146,173
