日付,曜日,PC,スマホ,アプリ,総合
2025-08-01,金,27,49,94,170
2025-08-02,土,7,24,97,128
2025-08-03,日,6,80,59,145
2025-08-04,月,24,30,34,88
2025-08-05,火,17,16,48,81
2025-08-06,水,22,37,43,102
2025-08-07,木,7,37,60,104
2025-08-08,金,37,35,34,106
2025-08-09,土,13,36,60,109
2025-08-10,日,5,54,171,230
2025-08-11,月,27,57,52,136
2025-08-12,火,34,27,99,160
2025-08-13,水,11,45,116,172
2025-08-14,木,13,28,71,112
2025-08-15,金,19,71,68,158
2025-08-16,土,10,42,97,149
2025-08-17,日,17,54,68,139
2025-08-18,月,31,30,65,126
2025-08-19,火,18,16,49,83
2025-08-20,水,11,109,90,210
2025-08-21,木,4,17,60,81
2025-08-22,金,6,21,14,41
2025-08-23,土,13,27,34,74
2025-08-24,日,15,79,49,143
2025-08-25,月,14,53,63,130
2025-08-26,火,22,44,43,109
2025-08-27,水,8,26,39,73
2025-08-28,木,121,34,160,315
2025-08-29,金,67,64,22,153
2025-08-30,土,33,92,39,164
2025-08-31,日,22,46,46,114
