取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260201185248000,2026/02/01,18:53:46,3960,3960,,,3960,,,,,,,,,,,,,,,,,,,,2,2,00:00:00,,,,,,,
RB0120260201185248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260201185248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,2
RB0120260201193357000,2026/02/01,21:35:52,23870,23870,,,23870,,,,,,,,,,,,,,,,,,,,3,6,00:00:00,,,,,,,
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,3
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デザート,本日のデザート,1200,1
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,パテドカンパーニュ,1000,1
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン,キャンティ・クラシッコ リゼルヴァ ボナッキ,7000,1
RB0120260201193357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン,リチャード・ハミルトン リトル・ロード シラーズ,8000,1
RB0120260201204720000,2026/02/01,22:24:20,4400,4400,,,4400,,,,,,,,,,,,,,,,,,,,1,4,00:00:00,,,,,,,
RB0120260201204720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260201204720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,ビーフジャーキー,1000,1
RB0120260201204720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,同業ハイボール,1000,2
RB0120260201204720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,紅茶,1000,1
RB0120260201205708000,2026/02/01,22:27:26,10560,10560,,,10560,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260201205708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260201205708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1300,3
RB0120260201205708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
RB0120260201205708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドリンク,梅酒,1200,2
RB0120260201220015000,2026/02/01,22:43:50,6160,6160,,,6160,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260201220015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,生チョコレート,1000,1
RB0120260201220015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260201220015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
RB0120260201220015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Espresso Martini,1800,1
RB0120260201213650000,2026/02/01,22:58:55,6600,6600,,,6600,,,,,,,,,,,,,,,,,,,,1,5,00:00:00,,,,,,,
RB0120260201213650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260201213650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ハートランド,1000,1
RB0120260201213650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ロイヤルブラックラ 12年,1800,1
RB0120260201213650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,スプリングバンク 10年,1800,1
RB0120260201213650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,メーカーズマーク,1400,1
RB0120260202185505000,2026/02/02,19:26:54,14300,14300,,,14300,,,,,,,,,,,,,,,,,,,,5,5,00:00:00,,,,,,,
RB0120260202185505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,5
RB0120260202185505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カクテル,クラシックカクテル,3500,1
RB0120260202185505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Espresso Martini,1800,1
RB0120260202185505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Tommy's Verde Margarita,1800,1
RB0120260202185505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Hojicha Negroni,1700,2
RB0120260202202747000,2026/02/02,21:32:05,3000,3000,,,3000,,,,,,,,,,,,,,,,,,,,1,5,00:00:00,,,,,,,
RB0120260202202747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260202202747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260202202747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　肉料理,1800,1
RB0120260202202747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260202202747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,グレンリベット15年,1800,1
RB0120260202205900000,2026/02/02,22:18:32,2700,2700,,,2700,,,,,,,,,,,,,,,,,,,,2,3,00:00:00,,,,,,,
RB0120260202205900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,2
RB0120260202205900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1200,1
RB0120260202205900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,本わさびジンソニック,1800,1
RB0120260202232221000,2026/02/02,23:25:29,6120,6120,,,6120,,,,,,,,,,,,,,,,,,,,3,4,00:00:00,,,,,,,
RB0120260202232221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260202232221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260202232221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ノンアルコールカクテル,ヘーゼルナッツラテ,1300,3
RB0120260202232221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,デュワーズ 12年,1300,1
RB0120260202230031000,2026/02/02,23:45:25,4240,4240,,,4240,,,,,,,,,,,,,,,,,,,,1,5,00:00:00,,,,,,,
RB0120260202230031000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260202230031000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,ドライフルーツ,1000,1
